sentence,unfair_label,law_acticle
"② 갑이 을에게 제1항 각 호의 어느 하나에 해당하는 경영정보를 요구하는 경우, 경영정보 요구에 앞서 아래의 사항을 적은 서면을 을에게 제공하여야 한다.    4. 경영정보 제공이 불가피함을 객관적으로 증명할 수 있는 내용",0,0
③ 제2항의 서면에는 갑과 을이 각각 서명 또는 기명날인하여야 한다.,0,0
④ 갑이 을에게 경영정보를 요구하는 경우 요구 목적에 필요한 최소한의 범위에서 하여야 한다.,0,0
"① ""갑""은 제1항의 정보를 ""을""의 거래 상대방에게 요구하도록 요청할 권리를 가진다.    ",1,14
"① ""갑""은 제1항의 정보를 ""을""의 거래 상대방에게 요구하도록 요청할 권리를 가진다.    1. 을이 다른 유통업체에 제공하는 상품의 공급 조건(가격 및 조건 포함)",1,14
"① ""갑""은 제1항의 정보를 ""을""의 거래 상대방에게 요구하도록 요청할 권리를 가진다.    2. 을이 타 면세점에서 납품하기 위해 협의한 입점 조건 및 프로모션 관련 사항",1,14
"① ""갑""은 제1항의 정보를 ""을""의 거래 상대방에게 요구하도록 요청할 권리를 가진다.    3. 을이 생산한 상품의 제조비, 원재료 비용 등 원가 관련 세부 정보",1,14
"① ""갑""은 제1항의 정보를 ""을""의 거래 상대방에게 요구하도록 요청할 권리를 가진다.    4. 을이 다른 업체 또는 유통 채널에서 발생한 매출 및 판매량 데이터를 포함한 성과 정보",1,14
"① ""갑""은 제1항의 정보를 ""을""의 거래 상대방에게 요구하도록 요청할 권리를 가진다.    5. 을과 해외 거래처 간의 협상 내용이나 계약 조건",1,14
"① ""갑""은 제1항의 정보를 ""을""의 거래 상대방에게 요구하도록 요청할 권리를 가진다.    6. 을의 물류 및 공급망 관리 방식, 운송업체 계약 정보 등 기타 운영 관련 정보",1,14
"① ""갑""은 제1항의 정보를 ""을""의 거래 상대방에게 요구하도록 요청할 권리를 가진다.    7. 이외에 제1호부터 제6호에 준하는 을의 거래 정보나 경영상 주요 정보",1,14
"② 갑이 제1항에서 규정된 정보를 요구하고자 할 경우, 다음 사항이 명시된 서면을 사전에 을에게 제공해야 한다.    ",0,0
"② 갑이 제1항에서 규정된 정보를 요구하고자 할 경우, 다음 사항이 명시된 서면을 사전에 을에게 제공해야 한다.    1. 요구하는 정보의 용도와 이유",0,0
"② 갑이 제1항에서 규정된 정보를 요구하고자 할 경우, 다음 사항이 명시된 서면을 사전에 을에게 제공해야 한다.    2. 요구된 정보의 비밀 유지 방안과, 만일 비밀이 침해되었을 때의 보상 방안",0,0
"② 갑이 제1항에서 규정된 정보를 요구하고자 할 경우, 다음 사항이 명시된 서면을 사전에 을에게 제공해야 한다.    3. 정보 요구 및 제공과 관련된 일시와 방식",0,0
"② 갑이 제1항에서 규정된 정보를 요구하고자 할 경우, 다음 사항이 명시된 서면을 사전에 을에게 제공해야 한다.    4. 해당 정보 제공이 필수적임을 뒷받침할 수 있는 구체적 근거",0,0
③ 제2항에 따른 서면에는 갑과 을 모두 서명하거나 기명날인을 해야 한다.,0,0
④ 갑은 요구 목적을 초과하지 않는 범위 내에서 최소한의 정보만을 요청하여야 한다.,0,0
"① ""갑""은 ""을""이 다음 각 호의 정보를 제공하지 않을 경우, 계약 해지 및 제재를 가할 수 있다.    ",1,14
"① ""갑""은 ""을""이 다음 각 호의 정보를 제공하지 않을 경우, 계약 해지 및 제재를 가할 수 있다.    1. 을이 타 유통채널 또는 해외 면세점과 체결한 계약 조건(수수료율 및 단가 등 포함)",1,14
"① ""갑""은 ""을""이 다음 각 호의 정보를 제공하지 않을 경우, 계약 해지 및 제재를 가할 수 있다.    2. 을의 해외 본사와 협의한 마케팅 전략 및 글로벌 캠페인 계획",1,14
"① ""갑""은 ""을""이 다음 각 호의 정보를 제공하지 않을 경우, 계약 해지 및 제재를 가할 수 있다.    3. 을이 제조하는 상품의 생산비용 및 원자재 가격 구성",1,14
"① ""갑""은 ""을""이 다음 각 호의 정보를 제공하지 않을 경우, 계약 해지 및 제재를 가할 수 있다.    4. 을의 해외 지사 또는 바이어와의 거래 기록 및 매출 통계",1,14
"① ""갑""은 ""을""이 다음 각 호의 정보를 제공하지 않을 경우, 계약 해지 및 제재를 가할 수 있다.    5. 을의 주요 프로모션 일정, 적용 국가 및 캠페인 결과에 관한 정보",1,14
"① ""갑""은 ""을""이 다음 각 호의 정보를 제공하지 않을 경우, 계약 해지 및 제재를 가할 수 있다.    6. 을이 관리하는 글로벌 물류망 정보 및 운송 비용 세부 내역",1,14
"① ""갑""은 ""을""이 다음 각 호의 정보를 제공하지 않을 경우, 계약 해지 및 제재를 가할 수 있다.    7. 그 밖에 을 또는 을의 글로벌 네트워크와 관련된 경영 정보",1,14
"② 갑이 을에게 제1항의 정보 제공을 요청하려는 경우, 다음 내용을 포함한 서면을 작성하여 을에게 제공하여야 한다.    ",0,0
"② 갑이 을에게 제1항의 정보 제공을 요청하려는 경우, 다음 내용을 포함한 서면을 작성하여 을에게 제공하여야 한다.    1. 요청하는 정보의 필요성과 구체적 용도",0,0
"② 갑이 을에게 제1항의 정보 제공을 요청하려는 경우, 다음 내용을 포함한 서면을 작성하여 을에게 제공하여야 한다.    2. 비밀보장 방안 및 비밀이 침해된 경우의 보상 조치",0,0
"② 갑이 을에게 제1항의 정보 제공을 요청하려는 경우, 다음 내용을 포함한 서면을 작성하여 을에게 제공하여야 한다.    3. 정보 요청 일자, 제공 기한 및 제공 방식",0,0
"② 갑이 을에게 제1항의 정보 제공을 요청하려는 경우, 다음 내용을 포함한 서면을 작성하여 을에게 제공하여야 한다.    4. 요청한 정보가 필수적인 사유와 이를 증명할 수 있는 근거",0,0
③ 제2항에 따라 작성된 서면에는 갑과 을 모두 서명하거나 기명날인을 해야 한다.,0,0
"④ 갑은 요구하는 정보의 목적을 초과하지 않으며, 반드시 필요한 최소한의 범위에서 정보를 요청해야 한다.",0,0
"① ""갑""은 ""을""이 제공하는 다음 각 호의 정보를 외부 감사 목적으로 요청할 수 있으며, 이를 정기적으로 제공해야 한다.    ",1,14
"① ""갑""은 ""을""이 제공하는 다음 각 호의 정보를 외부 감사 목적으로 요청할 수 있으며, 이를 정기적으로 제공해야 한다.    1. 을이 납품하는 상품의 제조원가, 단위 생산비용 및 내부 가격 책정 방식",1,14
"① ""갑""은 ""을""이 제공하는 다음 각 호의 정보를 외부 감사 목적으로 요청할 수 있으며, 이를 정기적으로 제공해야 한다.    2. 을이 다른 유통채널(국내 및 해외)에 제공하는 상품의 납품 조건과 가격",1,14
"① ""갑""은 ""을""이 제공하는 다음 각 호의 정보를 외부 감사 목적으로 요청할 수 있으며, 이를 정기적으로 제공해야 한다.    3. 을의 주요 협력업체 명단, 계약 조건 및 거래 내역",1,14
"① ""갑""은 ""을""이 제공하는 다음 각 호의 정보를 외부 감사 목적으로 요청할 수 있으며, 이를 정기적으로 제공해야 한다.    4. 을의 생산 일정, 월별 생산량 및 납품 가능량 등 운영 정보",1,14
"① ""갑""은 ""을""이 제공하는 다음 각 호의 정보를 외부 감사 목적으로 요청할 수 있으며, 이를 정기적으로 제공해야 한다.    5. 을이 자체적으로 계획한 마케팅 및 판매촉진 활동의 세부 사항",1,14
"① ""갑""은 ""을""이 제공하는 다음 각 호의 정보를 외부 감사 목적으로 요청할 수 있으며, 이를 정기적으로 제공해야 한다.    6. 을의 내부 관리 시스템(ERP 등)의 접속 권한 및 운영 방식",1,14
"① ""갑""은 ""을""이 제공하는 다음 각 호의 정보를 외부 감사 목적으로 요청할 수 있으며, 이를 정기적으로 제공해야 한다.    7. 그 외 을의 경영 및 거래 활동에 중대한 영향을 미칠 수 있는 제1호 내지 제6호에 준하는 정보",1,14
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 포함된 서면을 미리 작성하여 을에게 제공하여야 한다.    ",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 포함된 서면을 미리 작성하여 을에게 제공하여야 한다.    1. 요청하는 정보의 목적 및 사용 계획",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 포함된 서면을 미리 작성하여 을에게 제공하여야 한다.    2. 비밀유지 방안, 비밀 침해 시 손해배상 방안 등 보안 조치",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 포함된 서면을 미리 작성하여 을에게 제공하여야 한다.    3. 정보 요구 일자, 제공 기한 및 구체적인 제공 방법",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 포함된 서면을 미리 작성하여 을에게 제공하여야 한다.    4. 해당 정보 제공이 불가피함을 입증할 수 있는 구체적인 자료",0,0
③ 제2항의 서면에는 갑과 을이 각각 서명하거나 기명날인하여야 한다.,0,0
"④ 갑은 정보 요구 목적에 필요한 최소한의 범위에서만 정보를 요청하여야 하며, 이를 초과하지 않아야 한다.",0,0
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 기반으로 동일 조건을 타 공급업체와 협의할 수 있다.    ",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 기반으로 동일 조건을 타 공급업체와 협의할 수 있다.    1. 을의 신제품 개발 계획, 원료 조달 정보 및 제조 공정의 세부 내용",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 기반으로 동일 조건을 타 공급업체와 협의할 수 있다.    2. 을이 다른 유통채널(국내외 면세점 포함)에 제공하는 판매 조건 및 가격 정책",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 기반으로 동일 조건을 타 공급업체와 협의할 수 있다.    3. 을의 글로벌 마케팅 전략, 광고비 배정 내역 및 프로모션 계획",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 기반으로 동일 조건을 타 공급업체와 협의할 수 있다.    4. 을의 타 면세점에서의 판매 실적(매출, 판매량, 구매 고객층 분석 등)에 관한 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 기반으로 동일 조건을 타 공급업체와 협의할 수 있다.    5. 을의 주요 공급업체 및 생산업체 명단, 계약 조건 및 협상 내역",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 기반으로 동일 조건을 타 공급업체와 협의할 수 있다.    6. 을의 물류 및 재고 관리 시스템, 제품 출고 계획 등 운영 관련 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 기반으로 동일 조건을 타 공급업체와 협의할 수 있다.    7. 그 밖에 을의 브랜드 운영 및 글로벌 전략에 중대한 영향을 미칠 수 있는 제1호 내지 제6호에 준하는 정보",1,14
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 명시된 서면을 을에게 제공하여야 한다.    ",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 명시된 서면을 을에게 제공하여야 한다.    1. 정보 제공 요구의 목적과 필요성",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 명시된 서면을 을에게 제공하여야 한다.    2. 정보 요구 시 비밀유지를 위한 방안과 침해 시의 보상 방안",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 명시된 서면을 을에게 제공하여야 한다.    3. 정보 제공 요청일, 제공 기한 및 방법",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 다음 사항이 명시된 서면을 을에게 제공하여야 한다.    4. 해당 정보 제공이 불가피함을 증명하는 구체적 자료",0,0
④ 갑은 요청한 정보가 목적에 부합하고 최소한의 범위 내에서만 이루어지도록 하여야 한다.,0,0
"① ""갑""은 ""을""의 다음 각 호의 정보를 요청할 권리를 가지며, 이를 정기적으로 업데이트해야 한다.    ",1,14
"① ""갑""은 ""을""의 다음 각 호의 정보를 요청할 권리를 가지며, 이를 정기적으로 업데이트해야 한다.    1. 을이 제조한 주류의 원재료 조달 내역, 비율 및 숙성 방식 등 생산 공정에 관한 정보",1,14
"① ""갑""은 ""을""의 다음 각 호의 정보를 요청할 권리를 가지며, 이를 정기적으로 업데이트해야 한다.    2. 을이 다른 유통채널(국내외 면세점 포함)에서 협의한 납품 조건 및 가격 정책",1,14
"① ""갑""은 ""을""의 다음 각 호의 정보를 요청할 권리를 가지며, 이를 정기적으로 업데이트해야 한다.    3. 을의 특정 제품군에 대한 연간 생산량, 생산 계획 및 시장 출시 전략",1,14
"① ""갑""은 ""을""의 다음 각 호의 정보를 요청할 권리를 가지며, 이를 정기적으로 업데이트해야 한다.    4. 을의 글로벌 마케팅 및 브랜드 프로모션 계획, 광고비 내역 등 마케팅 관련 정보",1,14
"① ""갑""은 ""을""의 다음 각 호의 정보를 요청할 권리를 가지며, 이를 정기적으로 업데이트해야 한다.    5. 을이 주요 바이어와 체결한 계약 조건, 물류비용 및 운송 계획",1,14
"① ""갑""은 ""을""의 다음 각 호의 정보를 요청할 권리를 가지며, 이를 정기적으로 업데이트해야 한다.    6. 을의 주요 공급업체, 운송 네트워크 및 물류 시스템의 세부 사항",1,14
"① ""갑""은 ""을""의 다음 각 호의 정보를 요청할 권리를 가지며, 이를 정기적으로 업데이트해야 한다.    7. 그 밖에 을의 주류 생산 및 브랜드 운영에 중대한 영향을 미칠 수 있는 제1호 내지 제6호에 준하는 정보",1,14
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 요구 사항이 포함된 서면을 작성하여 을에게 제공하여야 한다. 서면에는 다음 사항이 명시되어야 한다.    ",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 요구 사항이 포함된 서면을 작성하여 을에게 제공하여야 한다. 서면에는 다음 사항이 명시되어야 한다.    1. 정보 요구의 목적과 이유",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 요구 사항이 포함된 서면을 작성하여 을에게 제공하여야 한다. 서면에는 다음 사항이 명시되어야 한다.    2. 요구한 정보의 비밀유지 방안 및 침해 시 보상 조치",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 요구 사항이 포함된 서면을 작성하여 을에게 제공하여야 한다. 서면에는 다음 사항이 명시되어야 한다.    3. 정보 제공 요청일, 제공 기한 및 제공 방법",0,0
"② 갑이 을에게 제1항 각 호의 정보를 요구하려는 경우, 요구 사항이 포함된 서면을 작성하여 을에게 제공하여야 한다. 서면에는 다음 사항이 명시되어야 한다.    4. 해당 정보 제공이 불가피함을 증명할 수 있는 자료",0,0
③ 제2항에 따른 서면에는 갑과 을이 각각 서명하거나 기명날인하여야 한다.,0,0
④ 갑은 정보를 요청할 때 그 목적을 초과하지 않는 범위 내에서 반드시 필요한 최소한의 정보만을 요구하여야 한다.,0,0
"① 갑은 ""을""에게 경영정보 제공을 요구할 때 부당성 판단 기준을 ""갑""의 내부 절차에 따라 결정할 수 있다.    ",1,14
"① 갑은 ""을""에게 경영정보 제공을 요구할 때 부당성 판단 기준을 ""갑""의 내부 절차에 따라 결정할 수 있다.    1. 을이 다른 유통 플랫폼에서 판매하는 상품의 가격 및 조건에 관한 정보",1,14
"① 갑은 ""을""에게 경영정보 제공을 요구할 때 부당성 판단 기준을 ""갑""의 내부 절차에 따라 결정할 수 있다.    2. 을이 자체적으로 운영하는 프로모션의 구체적 내용(할인율, 적용 조건 등)에 관한 정보",1,14
"① 갑은 ""을""에게 경영정보 제공을 요구할 때 부당성 판단 기준을 ""갑""의 내부 절차에 따라 결정할 수 있다.    3. 을이 다른 거래처와 협의한 배송 조건 및 물류 계획에 관한 정보",1,14
"① 갑은 ""을""에게 경영정보 제공을 요구할 때 부당성 판단 기준을 ""갑""의 내부 절차에 따라 결정할 수 있다.    4. 을의 상품 판매 실적, 매출액 및 기간별 재고량 등 판매 관련 정보",1,14
"① 갑은 ""을""에게 경영정보 제공을 요구할 때 부당성 판단 기준을 ""갑""의 내부 절차에 따라 결정할 수 있다.    5. 을의 온라인 마케팅 전략(광고비, 광고 시기 등)에 관한 정보",1,14
"① 갑은 ""을""에게 경영정보 제공을 요구할 때 부당성 판단 기준을 ""갑""의 내부 절차에 따라 결정할 수 있다.    6. 을의 내부 관리 시스템의 로그인 정보, 전산망 접속 권한 등 내부 데이터 접근에 필요한 정보",1,14
"① 갑은 ""을""에게 경영정보 제공을 요구할 때 부당성 판단 기준을 ""갑""의 내부 절차에 따라 결정할 수 있다.    7. 그 밖에 을이나 을의 거래 상대방과의 거래에 있어 중요한 경영상 정보",1,14
"① ""갑""은 ""을""이 제1항의 정보를 제공하지 않을 경우 이를 계약 조건으로 불리하게 반영할 수 있다.    ",1,14
"① ""갑""은 ""을""이 제1항의 정보를 제공하지 않을 경우 이를 계약 조건으로 불리하게 반영할 수 있다.    1. 을이 다른 유통업체에 제공하는 상품의 공급 조건(가격 및 조건 포함)",1,14
"① ""갑""은 ""을""이 제1항의 정보를 제공하지 않을 경우 이를 계약 조건으로 불리하게 반영할 수 있다.    2. 을이 타 면세점에서 납품하기 위해 협의한 입점 조건 및 프로모션 관련 사항",1,14
"① ""갑""은 ""을""이 제1항의 정보를 제공하지 않을 경우 이를 계약 조건으로 불리하게 반영할 수 있다.    3. 을이 생산한 상품의 제조비, 원재료 비용 등 원가 관련 세부 정보",1,14
"① ""갑""은 ""을""이 제1항의 정보를 제공하지 않을 경우 이를 계약 조건으로 불리하게 반영할 수 있다.    4. 을이 다른 업체 또는 유통 채널에서 발생한 매출 및 판매량 데이터를 포함한 성과 정보",1,14
"① ""갑""은 ""을""이 제1항의 정보를 제공하지 않을 경우 이를 계약 조건으로 불리하게 반영할 수 있다.    5. 을과 해외 거래처 간의 협상 내용이나 계약 조건",1,14
"① ""갑""은 ""을""이 제1항의 정보를 제공하지 않을 경우 이를 계약 조건으로 불리하게 반영할 수 있다.    6. 을의 물류 및 공급망 관리 방식, 운송업체 계약 정보 등 기타 운영 관련 정보",1,14
"① ""갑""은 ""을""이 제1항의 정보를 제공하지 않을 경우 이를 계약 조건으로 불리하게 반영할 수 있다.    7. 이외에 제1호부터 제6호에 준하는 을의 거래 정보나 경영상 주요 정보",1,14
"① ""갑""은 제1항에 해당하는 정보를 요청할 때, ""을""의 사전 동의 없이 이를 제3자와 공유할 수 있다.    ",1,14
"① ""갑""은 제1항에 해당하는 정보를 요청할 때, ""을""의 사전 동의 없이 이를 제3자와 공유할 수 있다.    1. 을이 타 유통채널 또는 해외 면세점과 체결한 계약 조건(수수료율 및 단가 등 포함)",1,14
"① ""갑""은 제1항에 해당하는 정보를 요청할 때, ""을""의 사전 동의 없이 이를 제3자와 공유할 수 있다.    2. 을의 해외 본사와 협의한 마케팅 전략 및 글로벌 캠페인 계획",1,14
"① ""갑""은 제1항에 해당하는 정보를 요청할 때, ""을""의 사전 동의 없이 이를 제3자와 공유할 수 있다.    3. 을이 제조하는 상품의 생산비용 및 원자재 가격 구성",1,14
"① ""갑""은 제1항에 해당하는 정보를 요청할 때, ""을""의 사전 동의 없이 이를 제3자와 공유할 수 있다.    4. 을의 해외 지사 또는 바이어와의 거래 기록 및 매출 통계",1,14
"① ""갑""은 제1항에 해당하는 정보를 요청할 때, ""을""의 사전 동의 없이 이를 제3자와 공유할 수 있다.    5. 을의 주요 프로모션 일정, 적용 국가 및 캠페인 결과에 관한 정보",1,14
"① ""갑""은 제1항에 해당하는 정보를 요청할 때, ""을""의 사전 동의 없이 이를 제3자와 공유할 수 있다.    6. 을이 관리하는 글로벌 물류망 정보 및 운송 비용 세부 내역",1,14
"① ""갑""은 제1항에 해당하는 정보를 요청할 때, ""을""의 사전 동의 없이 이를 제3자와 공유할 수 있다.    7. 그 밖에 을 또는 을의 글로벌 네트워크와 관련된 경영 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 바탕으로 동일한 품목을 다른 공급업체와 협의할 수 있다.    ",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 바탕으로 동일한 품목을 다른 공급업체와 협의할 수 있다.    1. 을이 납품하는 상품의 제조원가, 단위 생산비용 및 내부 가격 책정 방식",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 바탕으로 동일한 품목을 다른 공급업체와 협의할 수 있다.    2. 을이 다른 유통채널(국내 및 해외)에 제공하는 상품의 납품 조건과 가격",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 바탕으로 동일한 품목을 다른 공급업체와 협의할 수 있다.    3. 을의 주요 협력업체 명단, 계약 조건 및 거래 내역",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 바탕으로 동일한 품목을 다른 공급업체와 협의할 수 있다.    4. 을의 생산 일정, 월별 생산량 및 납품 가능량 등 운영 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 바탕으로 동일한 품목을 다른 공급업체와 협의할 수 있다.    5. 을이 자체적으로 계획한 마케팅 및 판매촉진 활동의 세부 사항",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 바탕으로 동일한 품목을 다른 공급업체와 협의할 수 있다.    6. 을의 내부 관리 시스템(ERP 등)의 접속 권한 및 운영 방식",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 바탕으로 동일한 품목을 다른 공급업체와 협의할 수 있다.    7. 그 외 을의 경영 및 거래 활동에 중대한 영향을 미칠 수 있는 제1호 내지 제6호에 준하는 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 공급 체계 평가 목적으로 요청할 수 있다.    ",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 공급 체계 평가 목적으로 요청할 수 있다.    1. 을의 신제품 개발 계획, 원료 조달 정보 및 제조 공정의 세부 내용",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 공급 체계 평가 목적으로 요청할 수 있다.    2. 을이 다른 유통채널(국내외 면세점 포함)에 제공하는 판매 조건 및 가격 정책",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 공급 체계 평가 목적으로 요청할 수 있다.    3. 을의 글로벌 마케팅 전략, 광고비 배정 내역 및 프로모션 계획",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 공급 체계 평가 목적으로 요청할 수 있다.    4. 을의 타 면세점에서의 판매 실적(매출, 판매량, 구매 고객층 분석 등)에 관한 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 공급 체계 평가 목적으로 요청할 수 있다.    5. 을의 주요 공급업체 및 생산업체 명단, 계약 조건 및 협상 내역",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 공급 체계 평가 목적으로 요청할 수 있다.    6. 을의 물류 및 재고 관리 시스템, 제품 출고 계획 등 운영 관련 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 공급 체계 평가 목적으로 요청할 수 있다.    7. 그 밖에 을의 브랜드 운영 및 글로벌 전략에 중대한 영향을 미칠 수 있는 제1호 내지 제6호에 준하는 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 면세점 운영 개선 목적으로 활용할 수 있다.    ",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 면세점 운영 개선 목적으로 활용할 수 있다.    1. 을이 제조한 주류의 원재료 조달 내역, 비율 및 숙성 방식 등 생산 공정에 관한 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 면세점 운영 개선 목적으로 활용할 수 있다.    2. 을이 다른 유통채널(국내외 면세점 포함)에서 협의한 납품 조건 및 가격 정책",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 면세점 운영 개선 목적으로 활용할 수 있다.    3. 을의 특정 제품군에 대한 연간 생산량, 생산 계획 및 시장 출시 전략",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 면세점 운영 개선 목적으로 활용할 수 있다.    4. 을의 글로벌 마케팅 및 브랜드 프로모션 계획, 광고비 내역 등 마케팅 관련 정보",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 면세점 운영 개선 목적으로 활용할 수 있다.    5. 을이 주요 바이어와 체결한 계약 조건, 물류비용 및 운송 계획",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 면세점 운영 개선 목적으로 활용할 수 있다.    6. 을의 주요 공급업체, 운송 네트워크 및 물류 시스템의 세부 사항",1,14
"① ""갑""은 ""을""이 제공한 다음 각 호의 정보를 면세점 운영 개선 목적으로 활용할 수 있다.    7. 그 밖에 을의 주류 생산 및 브랜드 운영에 중대한 영향을 미칠 수 있는 제1호 내지 제6호에 준하는 정보",1,14
① 갑은 부당하게 을에게 다음 각 호의 어느 하나에 해당하는 정보를 제공하도록 요구하여서는 아니 된다.    ,0,0
